age,income,credit_score,loan_amount,loan_tenure_months,debt_to_income_ratio,num_open_accounts,num_credit_inquiries,months_employed,has_mortgage,default
26,49610.01,667,23133.22,48,0.2959,13,1,53,0,0
59,47617.67,750,39924.47,60,0.2798,10,5,200,1,0
54,87946.41,741,41587.94,60,0.5553,6,8,65,0,0
43,90179.02,651,16932.36,72,0.4688,9,8,10,0,1
43,45819.11,463,21511.56,12,0.1544,10,4,23,1,0
64,48943.34,562,22317.15,36,0.1072,13,1,13,0,0
26,78477.36,711,32583.19,72,0.4193,8,0,51,0,0
56,39585.09,526,100000.0,12,0.1566,1,10,116,0,1
31,48763.29,624,20745.56,48,0.1447,10,1,25,0,0
26,62617.27,677,20207.83,36,0.2463,12,3,110,0,0
47,98515.52,768,18400.18,72,0.466,15,9,46,1,0
69,44253.98,604,53174.1,84,0.2638,3,10,65,0,0
58,23832.55,599,35425.78,12,0.2682,13,5,31,0,0
59,22964.42,646,21210.76,24,0.4769,1,7,4,0,0
57,31897.84,678,29211.64,72,0.4032,11,5,16,1,0
60,31051.93,638,22586.19,24,0.2867,5,1,10,1,0
47,55419.93,734,43370.5,48,0.1559,2,5,53,1,0
28,33042.83,586,100000.0,84,0.0731,5,8,47,1,1
63,42134.52,660,50539.91,84,0.3449,9,6,92,0,0
44,40658.25,686,34344.83,84,0.1473,3,6,24,0,0
46,48037.92,618,24367.72,12,0.3006,9,9,77,0,1
40,115989.18,717,16219.35,24,0.4348,11,2,26,0,0
30,83364.16,662,56399.4,24,0.1843,14,6,22,0,0
67,60358.96,713,54590.36,72,0.5603,9,2,89,1,0
60,47547.61,666,27455.98,24,0.2776,10,0,27,0,0
53,48212.99,680,75207.06,48,0.5173,14,10,45,1,0
41,70535.63,599,36778.33,72,0.3914,1,8,12,0,0
62,80184.42,600,57806.5,48,0.4609,12,10,80,1,1
48,38032.31,748,43378.46,84,0.2752,15,5,56,0,0
43,60976.29,701,32653.86,48,0.6791,13,6,181,1,0
44,21680.97,568,20477.24,36,0.5418,14,0,73,1,0
33,66559.85,664,33278.87,84,0.6495,14,2,7,0,0
26,87647.17,460,60188.13,48,0.5126,9,0,96,0,0
49,52050.29,604,26772.19,24,0.1117,13,3,85,1,0
65,148488.6,727,47280.1,60,0.4379,6,4,61,1,0
25,38537.26,640,18965.15,72,0.1815,2,2,42,0,0
64,66750.71,659,57990.53,72,0.1707,2,8,25,0,0
62,58811.2,409,43816.46,12,0.3663,3,6,27,0,0
35,56945.57,619,17654.28,12,0.2588,11,4,2,0,0
52,56547.65,677,31748.2,60,0.1653,7,4,86,0,0
30,63167.96,687,63504.4,72,0.066,13,6,50,0,1
59,91489.49,727,17061.51,60,0.2139,5,4,42,0,0
56,119236.97,633,19099.74,36,0.448,12,8,34,0,0
39,59806.81,637,34832.35,72,0.0357,14,8,49,0,1
25,90008.38,543,100000.0,60,0.105,5,2,26,1,0
69,42155.33,634,24256.82,84,0.2242,8,10,126,0,0
43,87814.13,549,48881.99,36,0.3784,9,5,159,0,0
65,40904.86,502,42449.96,72,0.3068,14,2,6,1,0
55,103293.52,563,25496.29,24,0.1511,6,9,172,0,0
60,150000.0,771,40001.81,72,0.1257,6,4,71,0,0
59,56328.62,628,27758.55,72,0.2337,12,1,109,1,0
31,20004.81,668,29299.25,24,0.4544,14,5,174,0,0
39,45522.57,609,13403.04,12,0.337,1,4,9,0,0
44,110850.48,507,35786.94,84,0.4605,2,2,128,0,0
46,78947.5,725,62283.77,12,0.5436,15,7,35,0,1
24,67809.45,476,37588.58,48,0.5685,7,4,39,1,0
48,99144.55,606,69863.92,12,0.2469,9,5,7,0,0
29,76284.63,646,51441.29,36,0.2822,14,0,63,0,0
58,110068.99,668,35041.04,72,0.3743,6,4,86,1,0
55,94817.74,592,24915.48,48,0.2003,7,0,161,1,0
67,128136.35,503,27125.83,24,0.5126,13,3,10,1,0
58,71639.23,586,15028.35,36,0.5212,11,8,9,1,0
39,94148.6,590,30938.38,12,0.4965,11,10,20,1,0
69,51350.83,588,39640.21,60,0.2745,6,3,5,0,0
42,44323.47,728,100000.0,12,0.6109,11,7,223,0,1
37,140559.17,553,49860.89,36,0.3221,13,7,15,0,0
66,66709.48,674,21613.81,12,0.0686,14,8,48,0,0
40,89539.96,663,15311.8,24,0.4513,10,0,22,1,0
25,63695.55,727,32082.59,12,0.4868,14,3,77,0,0
45,44655.92,639,59104.28,84,0.1085,13,7,12,0,0
60,60203.84,713,31813.0,72,0.1035,11,3,72,0,0
31,122761.29,636,50271.34,84,0.1795,9,7,291,1,0
44,79032.94,685,32575.79,60,0.3149,7,9,229,0,0
28,25444.72,530,55837.46,48,0.2289,10,9,42,1,0
55,53764.99,439,13927.84,24,0.2097,14,5,24,1,0
45,145968.61,680,95083.36,84,0.2984,8,2,8,1,0
38,53803.92,684,18629.65,84,0.1037,11,3,67,0,0
33,24337.18,688,58468.26,36,0.1298,9,6,50,0,0
49,150000.0,608,30843.76,24,0.0518,10,8,110,0,0
54,84220.72,769,33877.4,36,0.3858,11,9,12,1,0
68,57814.42,613,31424.37,36,0.1843,1,9,76,0,0
43,49726.39,684,42334.72,84,0.5114,2,2,5,1,0
29,102865.33,698,47787.28,12,0.4805,1,1,11,0,0
62,45661.39,787,68529.32,60,0.4095,12,1,9,0,0
52,106311.44,625,84522.19,72,0.3927,14,2,27,0,0
56,78519.14,598,44315.64,72,0.1536,6,3,86,0,0
26,67666.12,530,100000.0,24,0.3743,2,0,54,1,0
37,64392.82,774,38398.88,36,0.3731,1,10,47,0,1
59,54858.7,684,69318.3,36,0.1954,7,3,53,0,0
62,100994.37,686,46968.47,36,0.186,10,1,142,0,0
43,38844.76,850,26120.54,12,0.657,5,5,96,0,0
61,26609.87,676,40487.17,12,0.394,10,1,40,1,0
63,81407.29,546,49114.18,12,0.18,3,9,166,0,0
40,82093.91,634,35620.66,84,0.2485,11,10,18,0,0
66,76124.13,572,46523.55,36,0.0994,5,10,137,0,0
36,73413.58,618,61035.92,24,0.0762,15,4,47,0,0
33,51007.59,618,35809.77,72,0.2936,12,6,16,0,0
55,88764.44,603,6208.46,48,0.0922,7,1,14,1,0
53,58525.68,539,99405.44,36,0.2058,15,0,19,0,0
28,46931.45,777,30377.13,12,0.199,15,6,188,0,0
62,51228.66,674,22159.73,36,0.2232,3,8,36,0,0
31,150000.0,632,18500.14,60,0.0752,9,0,45,0,0
61,25147.45,711,29677.14,60,0.2069,10,10,61,0,1
22,76871.77,688,25909.15,36,0.5017,6,4,12,1,1
61,25859.8,672,23336.98,60,0.371,15,6,41,0,0
60,56720.07,705,24118.25,72,0.2463,11,0,141,0,0
60,48203.47,661,49903.46,84,0.249,12,9,32,1,1
54,21109.66,704,100000.0,48,0.0463,3,6,33,1,0
45,72730.7,710,59417.43,24,0.2596,14,5,3,0,0
56,49512.53,663,71222.13,12,0.2154,15,6,26,1,0
35,20960.54,632,28956.62,24,0.1459,14,9,27,0,0
60,91106.46,772,38669.22,12,0.2199,7,0,174,1,0
49,122700.67,612,46905.46,48,0.387,15,0,121,0,0
44,126129.21,681,24447.06,24,0.3488,1,5,99,0,0
46,71644.97,683,28129.16,24,0.0881,4,8,4,1,0
49,61268.99,601,60641.28,72,0.254,10,10,49,1,0
23,116317.44,585,69854.91,36,0.398,12,1,49,0,0
28,138855.87,622,37814.43,72,0.6109,2,4,24,0,0
34,105533.57,611,17728.09,12,0.1962,5,8,82,1,0
27,37392.72,533,30413.59,36,0.3279,2,10,9,0,1
43,66215.67,598,15293.78,12,0.0854,2,2,57,0,0
54,74589.73,671,37991.64,48,0.3348,1,10,31,0,1
54,24226.24,751,42329.6,12,0.4381,15,8,28,1,0
45,75711.12,694,30871.04,24,0.4338,14,2,56,0,0
63,150000.0,442,41983.28,72,0.4105,10,8,126,1,0
49,82451.71,701,46636.59,84,0.2566,1,6,7,0,0
25,125079.72,605,42366.67,48,0.2509,11,9,21,0,0
59,65608.29,686,17660.43,84,0.3032,9,9,79,1,0
50,57721.84,649,31195.88,72,0.4332,12,2,66,0,0
53,72448.82,635,46439.51,72,0.3491,8,7,32,0,0
49,39818.49,642,93641.32,84,0.597,1,5,74,1,0
49,36979.26,648,30848.54,12,0.4771,14,8,44,1,1
26,112775.26,758,50539.18,24,0.3673,14,1,59,1,0
49,118915.83,648,61506.07,48,0.4735,14,2,38,0,0
60,36477.35,737,32274.2,60,0.1083,10,2,3,1,0
36,97148.83,725,72333.64,84,0.442,14,10,18,0,0
51,57326.6,703,74705.15,12,0.3119,2,4,40,0,0
23,70962.32,507,83135.81,24,0.5334,7,2,13,0,1
39,75365.83,739,47813.31,36,0.2437,5,8,166,0,0
43,98437.32,613,100000.0,60,0.2159,8,7,206,0,0
70,62402.41,707,25105.2,84,0.523,1,6,48,0,1
32,121185.9,572,100000.0,84,0.1081,13,9,94,0,0
35,69892.0,555,57582.83,72,0.2151,5,9,2,1,1
42,81804.88,808,81164.43,72,0.4521,2,3,46,1,0
70,39472.86,573,29970.75,36,0.2593,3,10,42,0,0
63,150000.0,742,60275.73,60,0.2891,2,6,16,1,0
23,75728.7,659,85492.55,24,0.5848,11,9,46,1,1
33,85519.42,616,18912.62,48,0.334,14,7,73,1,0
62,26793.3,646,32925.55,36,0.3182,2,0,67,1,0
24,39681.84,546,10049.2,84,0.2218,1,10,11,0,1
63,111184.01,649,32630.42,36,0.0241,14,6,6,1,0
35,69109.37,563,22256.63,36,0.0247,6,4,79,0,1
66,22996.79,618,31867.42,36,0.4234,2,3,24,1,0
36,100623.89,724,100000.0,84,0.1436,3,6,3,0,0
43,45620.32,670,100000.0,84,0.058,11,10,43,1,0
54,121255.9,531,15311.07,48,0.2336,2,1,152,0,0
28,57301.5,718,50687.92,84,0.4114,7,2,2,0,0
49,66327.07,649,58650.93,72,0.2295,15,0,12,0,0
46,107955.81,607,29651.31,72,0.229,7,2,40,0,0
60,38225.32,710,40416.14,84,0.6566,3,0,40,0,0
70,36445.62,637,42855.5,36,0.1248,12,2,5,0,0
54,54271.3,557,16188.12,48,0.076,7,5,23,1,0
42,90543.57,798,19559.23,24,0.3537,6,9,58,1,0
41,30778.18,649,40270.64,36,0.1024,4,6,100,0,0
42,26003.4,643,38547.31,48,0.0562,12,2,16,1,0
61,90387.43,618,23738.71,12,0.3991,8,0,39,0,0
37,44289.85,744,22547.38,24,0.2434,8,9,68,1,0
30,49211.72,608,34411.03,72,0.425,12,1,9,1,0
38,23661.27,526,61801.97,24,0.1969,6,8,50,1,0
23,42638.39,596,34686.59,60,0.0828,10,2,211,0,0
27,59648.03,756,96147.48,72,0.1145,3,6,20,1,0
26,95338.49,717,23920.9,24,0.4865,9,9,112,1,0
59,40716.35,630,40776.69,48,0.3133,7,10,1,0,0
57,137130.47,760,29361.01,84,0.3326,8,1,48,0,0
56,42519.67,710,51677.44,72,0.251,6,5,48,1,0
44,42550.81,629,22721.05,84,0.1244,2,5,50,1,1
57,129143.41,637,100000.0,60,0.2822,14,9,80,0,0
29,66551.41,676,13169.15,84,0.6874,7,8,36,0,1
66,45432.71,583,100000.0,36,0.1612,12,1,48,0,0
46,55405.46,650,38330.19,60,0.5746,14,9,32,0,0
67,117775.65,675,50587.25,60,0.4125,7,3,56,1,0
29,124629.6,515,80879.44,84,0.5511,13,7,77,0,1
46,39799.25,635,60754.53,36,0.6416,7,1,95,0,0
56,58617.18,626,23434.95,84,0.1491,1,2,35,0,0
46,62634.93,732,52054.88,48,0.0843,14,0,63,1,0
43,36566.21,502,100000.0,12,0.4166,13,1,85,1,1
30,58230.09,619,21324.78,60,0.3903,9,10,300,0,0
40,60033.7,611,100000.0,84,0.115,13,1,91,0,0
33,105884.56,727,45771.71,48,0.4753,11,6,87,0,0
36,109503.58,647,28002.9,48,0.3662,13,8,79,1,0
55,50786.98,794,21248.18,84,0.2989,1,0,90,0,0
52,53799.71,703,31762.06,84,0.0919,13,3,49,1,0
51,83461.95,617,11235.49,36,0.5311,4,5,197,0,0
39,44685.56,669,28306.69,72,0.6771,15,3,112,0,0
69,80363.88,622,31015.54,60,0.2766,15,9,43,0,0
26,57299.48,719,19060.09,60,0.3063,1,1,87,1,0
38,36875.43,543,56880.46,72,0.2362,10,7,153,1,0
27,37107.77,584,31848.33,36,0.3937,6,4,20,0,1
38,123442.33,686,24798.12,36,0.0365,4,4,33,0,0
69,55369.78,748,29875.67,12,0.249,15,3,0,0,0
39,135968.3,474,44939.14,72,0.4472,7,7,47,0,0
66,46313.18,760,37946.51,24,0.1818,9,3,34,1,0
46,69258.6,639,23847.03,60,0.5181,5,6,27,0,0
56,150000.0,499,39159.26,60,0.6432,11,0,140,0,0
44,35288.3,410,35227.93,60,0.5043,4,3,59,1,0
35,23181.1,528,18330.5,84,0.2762,6,5,81,0,0
59,113924.94,648,30543.19,84,0.4006,11,2,2,0,0
69,39600.44,645,51410.77,12,0.1927,4,1,39,0,0
